id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
20061	Ol Mahum Straggler		9C	E8	A9	-1
20062	Tumran Bugbear		9C	E8	A9	-1
20063	Ol Mahum Shooter		9C	E8	A9	-1
20064	Tumran Bugbear Warrior		9C	E8	A9	-1
20065	Ol Mahum Patrolman		9C	E8	A9	-1
20066	Ol Mahum Captain		9C	E8	A9	-1
20067	Monster Eye Watcher		9C	E8	A9	-1
20068	Monster Eye Destroyer		9C	E8	A9	-1
20069	Selu Lizardman Scout		9C	E8	A9	-1
20070	Lesser Basilisk		9C	E8	A9	-1
20071	Selu Lizardman Warrior		9C	E8	A9	-1
20072	Basilisk		9C	E8	A9	-1
20073	Ol Mahum Legionnaire		9C	E8	A9	-1
20074	Androscorpio		9C	E8	A9	-1
20075	Ant Larva		9C	E8	A9	-1
20076	Ol Mahum Commander		9C	E8	A9	-1
20077	Androscorpio Hunter		9C	E8	A9	-1
20078	Whispering Wind		9C	E8	A9	-1
20079	Ant		9C	E8	A9	-1
20080	Ant Captain		9C	E8	A9	-1
20081	Ant Overseer		9C	E8	A9	-1
20082	Ant Recruit		9C	E8	A9	-1
20083	Granite Golem		9C	E8	A9	-1
20084	Ant Patrol		9C	E8	A9	-1
20085	Puncher		9C	E8	A9	-1
20086	Ant Guard		9C	E8	A9	-1
20087	Ant Soldier		9C	E8	A9	-1
20088	Ant Warrior Captain		9C	E8	A9	-1
20089	Noble Ant		9C	E8	A9	-1
20090	Noble Ant Leader		9C	E8	A9	-1
20091	Young Fox		9C	E8	A9	-1
20092	Monster Eye		9C	E8	A9	-1
20093	Orc Fighter		9C	E8	A9	-1
20094	Orc Marksman		9C	E8	A9	-1
20095	Vampire Bat		9C	E8	A9	-1
20096	Orc Lieutenant		9C	E8	A9	-1
20097	Drill Bat		9C	E8	A9	-1
20098	Orc Fighter Leader		9C	E8	A9	-1
20099	Skeleton		9C	E8	A9	-1
20100	Skeleton Archer		9C	E8	A9	-1
20101	Crasher		9C	E8	A9	-1
20102	Skeleton Marksman		9C	E8	A9	-1
20103	Giant Spider		9C	E8	A9	-1
20104	Skeleton Lord		9C	E8	A9	-1
20105	Dark Horror		9C	E8	A9	-1
20106	Talon Spider		9C	E8	A9	-1
20107	Wererat		9C	E8	A9	-1
20108	Blade Spider		9C	E8	A9	-1
20109	Salamander		9C	E8	A9	-1
20110	Undine		9C	E8	A9	-1
20111	Wererat Leader		9C	E8	A9	-1
20112	Salamander Elder		9C	E8	A9	-1
20113	Undine Elder		9C	E8	A9	-1
20114	Salamander Noble		9C	E8	A9	-1
20115	Undine Noble		9C	E8	A9	-1
20116	Fox		9C	E8	A9	-1
20117	Dre Vanul		9C	E8	A9	-1
20118	Dre Vanul Scout		9C	E8	A9	-1
20119	Elder Fox		9C	E8	A9	-1
20120	Wolf		9C	E8	A9	-1
20121	Giant Toad		9C	E8	A9	-1
20130	Orc		9C	E8	A9	-1
20131	Orc Grunt		9C	E8	A9	-1
20132	Werewolf		9C	E8	A9	-1
20133	Bugbear		9C	E8	A9	-1
20134	Cave Maiden		9C	E8	A9	-1
20135	Alligator		9C	E8	A9	-1
20136	Death Knight		9C	E8	A9	-1
20137	Drake		9C	E8	A9	-1
20138	Gargoyle		9C	E8	A9	-1
20139	Giant Bee		9C	E8	A9	-1
20140	Giant Leech		9C	E8	A9	-1
20141	Giant Wild Hog		9C	E8	A9	-1
20142	Griffon		9C	E8	A9	-1
20143	Grizzly		9C	E8	A9	-1
20144	Hangman Tree		9C	E8	A9	-1
20145	Harpy		9C	E8	A9	-1
20146	Headless Knight		9C	E8	A9	-1
20147	Hobgoblin		9C	E8	A9	-1
20148	Hungry Spirit		9C	E8	A9	-1
20149	Iron Golem		9C	E8	A9	-1
20150	King Bugbear		9C	E8	A9	-1
20151	Kobold		9C	E8	A9	-1
20152	Lizardman		9C	E8	A9	-1
20153	Magical Weaver		9C	E8	A9	-1
20154	Mandragora Sprout		9C	E8	A9	-1
20155	Mandragora Sapling		9C	E8	A9	-1
20156	Mandragora Blossom		9C	E8	A9	-1
20157	Marsh Stakato		9C	E8	A9	-1
20158	Medusa		9C	E8	A9	-1
20159	Minotaur		9C	E8	A9	-1
20160	Neer Crawler		9C	E8	A9	-1
20161	Oel Mahum		9C	E8	A9	-1
20162	Ogre		9C	E8	A9	-1
20163	Ol Mahum		9C	E8	A9	-1
20164	Ol Mahum Archer		9C	E8	A9	-1
20165	Ol Mahum Champion		9C	E8	A9	-1
20166	Succubus		9C	E8	A9	-1
20167	Serpent Slave		9C	E8	A9	-1
20168	Silenos		9C	E8	A9	-1
20169	Skeleton Royal Guard		9C	E8	A9	-1
20170	Spartoi		9C	E8	A9	-1
20171	Specter		9C	E8	A9	-1
20172	Sylph		9C	E8	A9	-1
20173	Troll		9C	E8	A9	-1
20174	Two-Headed Giant		9C	E8	A9	-1
20175	Walking Fungus		9C	E8	A9	-1
20176	Wyrm		9C	E8	A9	-1
20177	Zombie		9C	E8	A9	-1
20189	Puma		9C	E8	A9	-1
20190	Skeleton Marauder		9C	E8	A9	-1
20191	Skeleton Raider		9C	E8	A9	-1
20192	Tyrant		9C	E8	A9	-1
20193	Tyrant Kingpin		9C	E8	A9	-1
20194	Queen Undine		9C	E8	A9	-1
20197	Sorrow Maiden		9C	E8	A9	-1
20198	Neer Ghoul Berserker		9C	E8	A9	-1
20199	Amber Basilisk		9C	E8	A9	-1
20200	Strain		9C	E8	A9	-1
20201	Ghoul		9C	E8	A9	-1
20202	Dead Seeker		9C	E8	A9	-1
20203	Dion Grizzly		9C	E8	A9	-1
20204	Bloody Bee		9C	E8	A9	-1
20205	Dire Wolf		9C	E8	A9	-1
20206	Kadif Werewolf		9C	E8	A9	-1
20207	Ol Mahum Guerilla		9C	E8	A9	-1
20208	Ol Mahum Raider		9C	E8	A9	-1
20209	Ol Mahum Marksman		9C	E8	A9	-1
20210	Ol Mahum Sergeant		9C	E8	A9	-1
20211	Ol Mahum Captain		9C	E8	A9	-1
20212	Bloody Axe Turmak	Ol Mahum Lord	9C	E8	A9	-1
20213	Porta		9C	E8	A9	-1
20214	Excuro		9C	E8	A9	-1
20215	Mordeo		9C	E8	A9	-1
20216	Ricenseo		9C	E8	A9	-1
20217	Krator		9C	E8	A9	-1
20218	Premo		9C	E8	A9	-1
20219	Validus		9C	E8	A9	-1
20220	Dicor		9C	E8	A9	-1
20221	Perum		9C	E8	A9	-1
20222	Torfe		9C	E8	A9	-1
20223	Mandragora Sprout		9C	E8	A9	-1
20224	Ol Mahum Ranger		9C	E8	A9	-1
20225	Giant Mist Leech		9C	E8	A9	-1
20226	Gray Ant		9C	E8	A9	-1
20227	Horror Mist Ripper		9C	E8	A9	-1
20228	Giant Crimson Ant		9C	E8	A9	-1
20229	Stinger Wasp		9C	E8	A9	-1
20230	Marsh Stakato Worker		9C	E8	A9	-1
20231	Toad Lord		9C	E8	A9	-1
20232	Marsh Stakato Soldier		9C	E8	A9	-1
20233	Marsh Spider		9C	E8	A9	-1
20234	Marsh Stakato Drone		9C	E8	A9	-1
20235	Shackle		9C	E8	A9	-1
20236	Cave Servant		9C	E8	A9	-1
20237	Cave Servant Archer		9C	E8	A9	-1
20238	Cave Servant Warrior		9C	E8	A9	-1
20239	Cave Servant Captain		9C	E8	A9	-1
20240	Royal Cave Servant		9C	E8	A9	-1
20241	Hunter Gargoyle		9C	E8	A9	-1
20242	Dustwind Gargoyle		9C	E8	A9	-1
20243	Thunder Wyrm		9C	E8	A9	-1
20244	Malruk Succubus		9C	E8	A9	-1
20245	Malruk Succubus Turen		9C	E8	A9	-1
20246	Cave Keeper		9C	E8	A9	-1
20248	Turak Bugbear		9C	E8	A9	-1
20249	Turak Bugbear Warrior		9C	E8	A9	-1
20250	Glass Jaguar		9C	E8	A9	-1
20251	Delu Lizardman		9C	E8	A9	-1
20252	Delu Lizardman Scout		9C	E8	A9	-1
20253	Delu Lizardman Warrior		9C	E8	A9	-1
20254	Skeleton Axeman		9C	E8	A9	-1
20255	Batur Orc		9C	E8	A9	-1
20256	Batur Orc Archer		9C	E8	A9	-1
20257	Batur Orc Warrior		9C	E8	A9	-1
20258	Batur Orc Shaman		9C	E8	A9	-1
20259	Batur Orc Overlord		9C	E8	A9	-1
20260	Orc Champion		9C	E8	A9	-1
20261	Orc Shaman		9C	E8	A9	-1
20265	Monster Eye Searcher		9C	E8	A9	-1
20266	Monster Eye Gazer		9C	E8	A9	-1
20267	Breka Orc		9C	E8	A9	-1
20268	Breka Orc Archer		9C	E8	A9	-1
20269	Breka Orc Shaman		9C	E8	A9	-1
20270	Breka Orc Overlord		9C	E8	A9	-1
20271	Breka Orc Warrior		9C	E8	A9	-1
20272	Cave Servant		9C	E8	A9	-1
20273	Cave Servant Archer		9C	E8	A9	-1
20274	Cave Servant Warrior		9C	E8	A9	-1
20275	Cave Servant Captain		9C	E8	A9	-1
20276	Royal Cave Servant		9C	E8	A9	-1
20277	Cave Keeper		9C	E8	A9	-1
20279	Shackle		9C	E8	A9	-1
20280	Headless Knight		9C	E8	A9	-1
20281	Dustwind Gargoyle		9C	E8	A9	-1
20282	Thunder Wyrm		9C	E8	A9	-1
20283	Malruk Succubus		9C	E8	A9	-1
20284	Malruk Succubus Turen		9C	E8	A9	-1
20285	Drake		9C	E8	A9	-1
20286	Hunter Gargoyle		9C	E8	A9	-1
20287	Cave Maiden		9C	E8	A9	-1
20291	Enku Orc Champion		9C	E8	A9	-1
20292	Enku Orc Shaman		9C	E8	A9	-1
20293	Virud Lizardman		9C	E8	A9	-1
20294	Virud Lizardman Matriarch		9C	E8	A9	-1
20295	Virud Lizardman Warrior		9C	E8	A9	-1
20296	Virud Lizardman Scout		9C	E8	A9	-1
20297	Virud Lizardman Shaman 		9C	E8	A9	-1
20298	Virud Lizardman Shaman 		9C	E8	A9	-1
20299	Zenta Lizardman		9C	E8	A9	-1
20300	Zenta Lizardman Matriarch		9C	E8	A9	-1
20301	Zenta Lizardman Scout		9C	E8	A9	-1
20302	Zenta Lizardman Warrior		9C	E8	A9	-1
20303	Zenta Lizardman Shaman		9C	E8	A9	-1
20304	Marsh Stakato Queen		9C	E8	A9	-1
20305	Grave		9C	E8	A9	-1
20307	Garum Werewolf		9C	E8	A9	-1
20308	Hook Spider		9C	E8	A9	-1
20309	Brown Fox		9C	E8	A9	-1
20310	Brown Bear		9C	E8	A9	-1
20311	Rakeclaw Imp		9C	E8	A9	-1
20312	Rakeclaw Imp Hunter		9C	E8	A9	-1
20313	Rakeclaw Imp Chieftain		9C	E8	A9	-1
20314	Great White Shark		9C	E8	A9	-1
20316	Darkwing Bat		9C	E8	A9	-1
20317	Black Wolf		9C	E8	A9	-1
20318	Black Timber Wolf		9C	E8	A9	-1
20319	Goblin Grave Robber		9C	E8	A9	-1
20320	Goblin Tomb Raider Leader		9C	E8	A9	-1
20321	Goblin Thief		9C	E8	A9	-1
20322	Goblin Brigand		9C	E8	A9	-1
20323	Goblin Brigand Leader		9C	E8	A9	-1
20324	Goblin Brigand Lieutenant		9C	E8	A9	-1
20325	Goblin Raider		9C	E8	A9	-1
20326	Goblin Scout		9C	E8	A9	-1
20327	Goblin Snooper		9C	E8	A9	-1
20328	Goblin Lookout		9C	E8	A9	-1
20329	Ghost Guardian		9C	E8	A9	-1
20330	Mineshaft Bat		9C	E8	A9	-1
20331	Monster Eye Tracker		9C	E8	A9	-1
20333	Greystone Golem		9C	E8	A9	-1
20334	Gremlin Scavenger		9C	E8	A9	-1
20335	Grizzly Bear		9C	E8	A9	-1
20336	Green Dryad		9C	E8	A9	-1
20337	Longtail Fox		9C	E8	A9	-1
20338	Nightmare Weaver		9C	E8	A9	-1
20340	Slave Skeleton		9C	E8	A9	-1
20341	Undead Slave		9C	E8	A9	-1
20342	Werewolf Chieftain		9C	E8	A9	-1
20343	Werewolf Hunter		9C	E8	A9	-1
20345	Dark Terror		9C	E8	A9	-1
20346	Darkstone Golem		9C	E8	A9	-1
20347	Death Wraith		9C	E8	A9	-1
20348	Cave Spider		9C	E8	A9	-1
20349	Cave Bat		9C	E8	A9	-1
20350	Cave Fang Spider		9C	E8	A9	-1
20351	Dre Vanul Tracker		9C	E8	A9	-1
20352	Dre Vanul Slayer		9C	E8	A9	-1
20353	Dre Vanul Beholder		9C	E8	A9	-1
20354	Dwarf Ghost		9C	E8	A9	-1
20356	Langk Lizardman Leader		9C	E8	A9	-1
20357	Langk Lizardman Lieutenant		9C	E8	A9	-1
20358	Ratman Hunter		9C	E8	A9	-1
20359	Ratman Warrior		9C	E8	A9	-1
20360	Ratman Spy		9C	E8	A9	-1
20361	Tunath Orc Marksman		9C	E8	A9	-1
20362	Tunath Orc Warrior		9C	E8	A9	-1
20363	Maraku Werewolf		9C	E8	A9	-1
20364	Maraku Werewolf Chieftain		9C	E8	A9	-1
20365	Mountain Fungus		9C	E8	A9	-1
20367	Merkenis Escort		9C	E8	A9	-1
20368	Grave Keeper		9C	E8	A9	-1
20369	Moonstone Beast		9C	E8	A9	-1
20370	Barbed Bat		9C	E8	A9	-1
20371	Mist Terror		9C	E8	A9	-1
20372	Baraq Orc Fighter		9C	E8	A9	-1
20373	Baraq Orc Warrior Leader		9C	E8	A9	-1
20374	Baranka's Guard		9C	E8	A9	-1
20375	Baranka's Escort		9C	E8	A9	-1
20376	Varikan Brigand Leader		9C	E8	A9	-1
20377	Varika's Bandit		9C	E8	A9	-1
20378	Stone Giant		9C	E8	A9	-1
20379	Stone Soldier		9C	E8	A9	-1
20380	Stone Guardian		9C	E8	A9	-1
20381	Vaiss Orc		9C	E8	A9	-1
20382	Vaiss Orc Warrior Leader		9C	E8	A9	-1
20383	Arachnid Hunter		9C	E8	A9	-1
20385	Balor Orc Archer		9C	E8	A9	-1
20386	Balor Orc Fighter		9C	E8	A9	-1
20387	Balor Orc Fighter Leader		9C	E8	A9	-1
20388	Balor Orc Lieutenant		9C	E8	A9	-1
20389	Boogle Ratman		9C	E8	A9	-1
20390	Boogle Ratman Leader		9C	E8	A9	-1
20391	Red Fox		9C	E8	A9	-1
20392	Redeye Bat		9C	E8	A9	-1
20393	Red Scavenger Spider		9C	E8	A9	-1
20394	Crimson Tarantula		9C	E8	A9	-1
20398	Vrykolakas		9C	E8	A9	-1
20399	Vrykolakas Wolfkin		9C	E8	A9	-1
20400	Blood Fungus		9C	E8	A9	-1
20401	Veelan Bugbear		9C	E8	A9	-1
20402	Veelan Bugbear Warrior		9C	E8	A9	-1
20403	Hunter Tarantula		9C	E8	A9	-1
20404	Silent Horror		9C	E8	A9	-1
20405	Young Brown Fox		9C	E8	A9	-1
20406	Young Red Fox		9C	E8	A9	-1
20407	Young Crimson Fox		9C	E8	A9	-1
20410	Scavenger Spider		9C	E8	A9	-1
20411	Scavenger Bat		9C	E8	A9	-1
20412	Susceptor		9C	E8	A9	-1
20415	Scarlet Salamander		9C	E8	A9	-1
20416	Scarlet Salamander Elder		9C	E8	A9	-1
20418	Crystalline Beast		9C	E8	A9	-1
20419	Akaste Succubus		9C	E8	A9	-1
20420	Akaste Succubus Turen		9C	E8	A9	-1
20421	Akaste Succubus Tilfo		9C	E8	A9	-1
20422	Akaste Bone Warlord		9C	E8	A9	-1
20423	Akaste Bone Archer		9C	E8	A9	-1
20424	Akaste Bone Lord		9C	E8	A9	-1
20425	Akaste Bone Soldier		9C	E8	A9	-1
20426	Evil Eye		9C	E8	A9	-1
20427	Evil Eye Watcher		9C	E8	A9	-1
20428	Evil Eye Patroller		9C	E8	A9	-1
20429	Evil Eye Lookout		9C	E8	A9	-1
20431	Elf Ghost		9C	E8	A9	-1
20432	Elpy		9C	E8	A9	-1
20433	Festering Bat		9C	E8	A9	-1
20435	Opal Beast		9C	E8	A9	-1
20436	Ol Mahum Supplier		9C	E8	A9	-1
20437	Ol Mahum Recruit		9C	E8	A9	-1
20438	Ol Mahum General		9C	E8	A9	-1
20439	Ol Mahum Officer		9C	E8	A9	-1
20440	Elder Brown Fox		9C	E8	A9	-1
20441	Elder Longtail Fox		9C	E8	A9	-1
20442	Elder Wolf		9C	E8	A9	-1
20443	Elder Red Fox		9C	E8	A9	-1
20444	Elder Prairie Fox		9C	E8	A9	-1
20445	Uthanka Pirate		9C	E8	A9	-1
20446	Utuku Orc		9C	E8	A9	-1
20447	Utuku Orc Archer		9C	E8	A9	-1
20448	Utuku Orc Grunt		9C	E8	A9	-1
20449	Will-O-Wisp		9C	E8	A9	-1
20450	Relic Werewolf		9C	E8	A9	-1
20451	Relic Spartoi		9C	E8	A9	-1
20453	Human Ghost		9C	E8	A9	-1
20454	Oblivion Watcher		9C	E8	A9	-1
20455	Doom Soldier		9C	E8	A9	-1
20456	Ashen Wolf		9C	E8	A9	-1
20457	Zombie Soldier		9C	E8	A9	-1
20458	Zombie Warrior		9C	E8	A9	-1
20460	Crimson Spider		9C	E8	A9	-1
20461	Dungeon Spider		9C	E8	A9	-1
20462	Cave Blade Spider		9C	E8	A9	-1
20463	Dungeon Skeleton Archer		9C	E8	A9	-1
20464	Dungeon Skeleton		9C	E8	A9	-1
20465	Prairie Fox		9C	E8	A9	-1
20466	Pincer Spider		9C	E8	A9	-1
20468	Kaboo Orc		9C	E8	A9	-1
20469	Kaboo Orc Archer		9C	E8	A9	-1
20470	Kaboo Orc Grunt		9C	E8	A9	-1
20471	Kaboo Orc Fighter		9C	E8	A9	-1
20472	Kaboo Orc Fighter Leader		9C	E8	A9	-1
20473	Kaboo Orc Fighter Lieutenant		9C	E8	A9	-1
20474	Kasha Spider		9C	E8	A9	-1
20475	Kasha Wolf		9C	E8	A9	-1
20476	Kasha Fang Spider		9C	E8	A9	-1
20477	Kasha Timber Wolf		9C	E8	A9	-1
20478	Kasha Blade Spider		9C	E8	A9	-1
20479	Kasha Bear		9C	E8	A9	-1
20480	Blade Bat		9C	E8	A9	-1
20481	Bearded Keltir		9C	E8	A9	-1
20483	Corpse Candle		9C	E8	A9	-1
20487	Kuruka Ratman		9C	E8	A9	-1
20488	Kuruka Ratman Hunter		9C	E8	A9	-1
20489	Quicksilver Beast		9C	E8	A9	-1
20490	Death Doll		9C	E8	A9	-1
20491	Crypt Horror		9C	E8	A9	-1
20492	Kirunak's Guards		9C	E8	A9	-1
20494	Turek War Hound		9C	E8	A9	-1
20495	Turek Orc Warlord		9C	E8	A9	-1
20496	Turek Orc Archer		9C	E8	A9	-1
20497	Turek Orc Skirmisher		9C	E8	A9	-1
20498	Turek Orc Supplier		9C	E8	A9	-1
20499	Turek Orc Footman		9C	E8	A9	-1
20500	Turek Orc Sentinel		9C	E8	A9	-1
20501	Turek Orc Shaman		9C	E8	A9	-1
20502	Twink Puma		9C	E8	A9	-1
20504	Dread Soldier		9C	E8	A9	-1
20505	Ruin Bat		9C	E8	A9	-1
20506	Ruin Imp		9C	E8	A9	-1
20507	Ruin Imp Elder		9C	E8	A9	-1
20508	Plunder Tarantula		9C	E8	A9	-1
20509	Spore Fungus		9C	E8	A9	-1
20510	Puma		9C	E8	A9	-1
20511	Pitchstone Golem		9C	E8	A9	-1
20512	Field Stalker		9C	E8	A9	-1
20513	Skeleton Knight		9C	E8	A9	-1
20514	Shield Skeleton		9C	E8	A9	-1
20515	Skeleton Infantryman		9C	E8	A9	-1
20516	Skeleton Sentinel		9C	E8	A9	-1
20517	Skeleton Hunter		9C	E8	A9	-1
20518	Skeleton Hunter Archer		9C	E8	A9	-1
20519	Skeleton Pikeman		9C	E8	A9	-1
20520	Pirate Captain Uthanka		9C	E8	A9	-1
20521	Whinstone Golem		9C	E8	A9	-1
20522	White Fang		9C	E8	A9	-1
20524	Grey Wolf Elder		9C	E8	A9	-1
20525	Gray Wolf		9C	E8	A9	-1
20526	Obsidian Golem		9C	E8	A9	-1
20527	White Wolf		9C	E8	A9	-1
20528	Goblin Lord		9C	E8	A9	-1
20529	Young Brown Keltir		9C	E8	A9	-1
20530	Young Red Keltir		9C	E8	A9	-1
20531	Young Prairie Keltir		9C	E8	A9	-1
20532	Brown Keltir		9C	E8	A9	-1
20533	Longtail Keltir		9C	E8	A9	-1
20534	Red Keltir		9C	E8	A9	-1
20535	Prairie Keltir		9C	E8	A9	-1
20536	Elder Brown Keltir		9C	E8	A9	-1
20537	Elder Red Keltir		9C	E8	A9	-1
20538	Elder Prairie Keltir		9C	E8	A9	-1
20539	Elder Longtail Keltir		9C	E8	A9	-1
20540	Gemstone Beast		9C	E8	A9	-1
20541	Ore Bat		9C	E8	A9	-1
20542	Skeleton Longbowman		9C	E8	A9	-1
20543	Ghost		9C	E8	A9	-1
20544	Elder Keltir		9C	E8	A9	-1
20545	Young Keltir		9C	E8	A9	-1
20546	Turek Orc Elder		9C	E8	A9	-1
20547	Ol Mahum Reserve		9C	E8	A9	-1
20548	Ol Mahum Deserter		9C	E8	A9	-1
20549	Ol Mahum Lord		9C	E8	A9	-1
20550	Guardian Basilisk		9C	E8	A9	-1
20551	Road Scavenger		9C	E8	A9	-1
20552	Fettered Soul		9C	E8	A9	-1
20553	Windsus		9C	E8	A9	-1
20554	Grandis		9C	E8	A9	-1
20555	Giant Fungus		9C	E8	A9	-1
20556	Giant Monstereye		9C	E8	A9	-1
20557	Dire Wyrm		9C	E8	A9	-1
20558	Rotting tree		9C	E8	A9	-1
20559	Rotting Golem		9C	E8	A9	-1
20560	Trisalim Spider		9C	E8	A9	-1
20561	Trisalim Tarantula		9C	E8	A9	-1
20562	Spore Zombie		9C	E8	A9	-1
20563	Manashen Gargoyle		9C	E8	A9	-1
20564	Enchanted Monstereye		9C	E8	A9	-1
20565	Enchanted Stone Golem		9C	E8	A9	-1
20566	Enchanted Iron Golem		9C	E8	A9	-1
20567	Enchanted Gargoyle		9C	E8	A9	-1
20568	Formor		9C	E8	A9	-1
20569	Formor Elder		9C	E8	A9	-1
20570	Tarlk Bugbear		9C	E8	A9	-1
20571	Tarlk Bugbear Warrior		9C	E8	A9	-1
20572	Tarlk Bugbear High Warrior		9C	E8	A9	-1
20573	Tarlk Basilisk		9C	E8	A9	-1
20574	Elder Tarlk Basilisk		9C	E8	A9	-1
20575	Oel Mahum Warrior		9C	E8	A9	-1
20576	Oel Mahum Witch Doctor		9C	E8	A9	-1
20577	Leto Lizardman		9C	E8	A9	-1
20578	Leto Lizardman Archer		9C	E8	A9	-1
20579	Leto Lizardman Soldier		9C	E8	A9	-1
20580	Leto Lizardman Warrior		9C	E8	A9	-1
20581	Leto Lizardman Shaman		9C	E8	A9	-1
20582	Leto Lizardman Overlord		9C	E8	A9	-1
20583	Timak Orc		9C	E8	A9	-1
20584	Timak Orc Archer		9C	E8	A9	-1
20585	Timak Orc Soldier		9C	E8	A9	-1
20586	Timak Orc Warrior		9C	E8	A9	-1
20587	Timak Orc Shaman		9C	E8	A9	-1
20588	Timak Orc Overlord		9C	E8	A9	-1
20589	Fline		9C	E8	A9	-1
20590	Liele		9C	E8	A9	-1
20591	Valley Treant		9C	E8	A9	-1
20592	Satyr		9C	E8	A9	-1
20593	Unicorn		9C	E8	A9	-1
20594	Forest Runner		9C	E8	A9	-1
20595	Fline Elder		9C	E8	A9	-1
20596	Liele Elder		9C	E8	A9	-1
20597	Valley treant Elder		9C	E8	A9	-1
20598	Satyr Elder		9C	E8	A9	-1
20599	Unicorn Elder		9C	E8	A9	-1
20600	Karul Bugbear		9C	E8	A9	-1
20601	Tamlin Orc		9C	E8	A9	-1
20602	Tamlin Orc Archer		9C	E8	A9	-1
20603	Kronbe Spider		9C	E8	A9	-1
20604	Lakin		9C	E8	A9	-1
20605	Weird Drake		9C	E8	A9	-1
20606	Kuran Kobold		9C	E8	A9	-1
20607	Kuran Kobold Warrior		9C	E8	A9	-1
20608	Patin Archer		9C	E8	A9	-1
20609	Lakin Salamander		9C	E8	A9	-1
20610	Sentinel Of Water		9C	E8	A9	-1
20611	Dre Vanul Warrior		9C	E8	A9	-1
20612	Salamander Rowin		9C	E8	A9	-1
20613	Lafi Lizardman		9C	E8	A9	-1
20614	Lafi Lizardman Scout		9C	E8	A9	-1
20615	Ritmal Swordsman		9C	E8	A9	-1
20616	Lakin Undine		9C	E8	A9	-1
20617	Sentinel Of Water		9C	E8	A9	-1
20618	Kanil Succubus		9C	E8	A9	-1
20619	Rowin Undine		9C	E8	A9	-1
20620	Cave Beast		9C	E8	A9	-1
20621	Death Wave		9C	E8	A9	-1
20622	Malruk Soldier		9C	E8	A9	-1
20623	Plando		9C	E8	A9	-1
20624	Cave Howler		9C	E8	A9	-1
20625	Malruk Knight		9C	E8	A9	-1
20626	Malruk Berserker		9C	E8	A9	-1
20627	Malruk Lord		9C	E8	A9	-1
20628	Limal Karinness		9C	E8	A9	-1
20629	Karik		9C	E8	A9	-1
20630	Taik Orc		9C	E8	A9	-1
20631	Taik Orc Archer		9C	E8	A9	-1
20632	Taik Orc Warrior		9C	E8	A9	-1
